,date,sales,store_nbr
0,2013-01-01,0.0,44.0
1,2013-01-02,30095.181,44.0
2,2013-01-03,20447.057,44.0
3,2013-01-04,22795.799,44.0
4,2013-01-05,31382.508,44.0
5,2013-01-06,36069.345,44.0
6,2013-01-07,21025.328999999998,44.0
7,2013-01-08,33993.257,44.0
8,2013-01-09,21296.042004,44.0
9,2013-01-10,15522.82798,44.0
10,2013-01-11,19738.47498,44.0
11,2013-01-12,25418.678,44.0
12,2013-01-13,31129.35,44.0
13,2013-01-14,17518.412,44.0
14,2013-01-15,15761.721,44.0
15,2013-01-16,21994.873,44.0
16,2013-01-17,14999.145,44.0
17,2013-01-18,19238.57502,44.0
18,2013-01-19,29145.70396,44.0
19,2013-01-20,31897.75303,44.0
20,2013-01-21,17632.768,44.0
21,2013-01-22,34614.042,44.0
22,2013-01-23,17574.106,44.0
23,2013-01-24,12230.94998,44.0
24,2013-01-25,18529.643,44.0
25,2013-01-26,26769.391,44.0
26,2013-01-27,28839.307,44.0
27,2013-01-28,15423.466,44.0
28,2013-01-29,14607.175,44.0
29,2013-01-30,17236.404,44.0
30,2013-01-31,13467.855,44.0
31,2013-02-01,22294.816,44.0
32,2013-02-02,32666.54397,44.0
33,2013-02-03,31751.366,44.0
34,2013-02-04,17728.195,44.0
35,2013-02-05,16512.018995,44.0
36,2013-02-06,20119.783,44.0
37,2013-02-07,16506.634,44.0
38,2013-02-08,18985.489005,44.0
39,2013-02-09,22806.965004,44.0
40,2013-02-10,16419.163,44.0
41,2013-02-11,17130.39,44.0
42,2013-02-12,21745.158,44.0
43,2013-02-13,18051.50398,44.0
44,2013-02-14,38885.718004,44.0
45,2013-02-15,19068.482,44.0
46,2013-02-16,32582.67696,44.0
47,2013-02-17,24503.894,44.0
48,2013-02-18,19797.048,44.0
49,2013-02-19,14658.543,44.0
50,2013-02-20,19929.391,44.0
51,2013-02-21,13970.993,44.0
52,2013-02-22,17469.76,44.0
53,2013-02-23,26033.811999999998,44.0
54,2013-02-24,30505.36303,44.0
55,2013-02-25,19511.08904,44.0
56,2013-02-26,14784.476004,44.0
57,2013-02-27,16250.759,44.0
58,2013-02-28,14857.52002,44.0
59,2013-03-01,22270.176,44.0
60,2013-03-02,32798.856,44.0
61,2013-03-03,38181.899000000005,44.0
62,2013-03-04,20911.8,44.0
63,2013-03-05,21365.32598,44.0
64,2013-03-06,21711.109,44.0
65,2013-03-07,15394.973,44.0
66,2013-03-08,26132.241,44.0
67,2013-03-09,29951.63497,44.0
68,2013-03-10,30386.641040000002,44.0
69,2013-03-11,17089.015,44.0
70,2013-03-12,15752.124,44.0
71,2013-03-13,19609.154000000002,44.0
72,2013-03-14,13119.796999999999,44.0
73,2013-03-15,18609.6001,44.0
74,2013-03-16,30441.078,44.0
75,2013-03-17,34892.567,44.0
76,2013-03-18,18203.304,44.0
77,2013-03-19,15874.449,44.0
78,2013-03-20,19657.66,44.0
79,2013-03-21,14880.33397,44.0
80,2013-03-22,18411.19799,44.0
81,2013-03-23,31889.787,44.0
82,2013-03-24,29504.92494,44.0
83,2013-03-25,17026.287,44.0
84,2013-03-26,11090.212,44.0
85,2013-03-27,20180.98101,44.0
86,2013-03-28,17541.689,44.0
87,2013-03-29,21393.413,44.0
88,2013-03-30,25750.003,44.0
89,2013-03-31,27281.635000000002,44.0
90,2013-04-01,23812.061999999998,44.0
91,2013-04-02,18911.761039999998,44.0
92,2013-04-03,22686.992,44.0
93,2013-04-04,16437.74098,44.0
94,2013-04-05,19861.856,44.0
95,2013-04-06,34105.411,44.0
96,2013-04-07,35847.16896,44.0
97,2013-04-08,19095.92498,44.0
98,2013-04-09,15986.89,44.0
99,2013-04-10,18763.540979999998,44.0
100,2013-04-11,25121.68502,44.0
101,2013-04-12,17896.815000000002,44.0
102,2013-04-13,28717.04396,44.0
103,2013-04-14,30727.966,44.0
104,2013-04-15,17175.006,44.0
105,2013-04-16,18734.07102,44.0
106,2013-04-17,20281.665,44.0
107,2013-04-18,14613.58798,44.0
